variable_name,algorithm,fold,variable_importance
CHELSA_bio_15,RF,RUN5,0.037
CHELSA_bio_03,ANN,RUN5,0.161
CHELSA_bio_05,ANN,RUN5,0.057
CHELSA_bio_06,ANN,RUN5,0.401
CHELSA_bio_08,ANN,RUN5,0.43
CHELSA_bio_09,ANN,RUN5,0.375
CHELSA_bio_13,ANN,RUN5,0.234
CHELSA_bio_14,ANN,RUN5,0.205
CHELSA_bio_15,ANN,RUN5,0.346
CHELSA_bio_03,MAXENT.Phillips,RUN5,0.016
CHELSA_bio_05,MAXENT.Phillips,RUN5,0.166
CHELSA_bio_06,MAXENT.Phillips,RUN5,0.01
CHELSA_bio_08,MAXENT.Phillips,RUN5,0.329
CHELSA_bio_09,MAXENT.Phillips,RUN5,0.175
CHELSA_bio_13,MAXENT.Phillips,RUN5,0.221
CHELSA_bio_14,MAXENT.Phillips,RUN5,0.023
CHELSA_bio_15,MAXENT.Phillips,RUN5,0.174
CHELSA_bio_03,CTA,RUN5,0.022
CHELSA_bio_05,CTA,RUN5,0.527
CHELSA_bio_06,CTA,RUN5,0.017
CHELSA_bio_08,CTA,RUN5,0.32
CHELSA_bio_09,CTA,RUN5,0.179
CHELSA_bio_13,CTA,RUN5,0.181
CHELSA_bio_14,CTA,RUN5,0.064
CHELSA_bio_15,CTA,RUN5,0.15
CHELSA_bio_03,MARS,RUN5,0
CHELSA_bio_05,MARS,RUN5,0.159
CHELSA_bio_06,MARS,RUN5,0
CHELSA_bio_08,MARS,RUN5,0.293
CHELSA_bio_09,MARS,RUN5,0.195
CHELSA_bio_13,MARS,RUN5,0.141
CHELSA_bio_14,MARS,RUN5,0.128
CHELSA_bio_15,MARS,RUN5,0.117
