model,metric,value,taxon
Salamandra.atra.north_AllData_RUN2_GLM,boyce,0.932,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN2_GBM,boyce,0.099,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN2_GAM,boyce,0.627,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN2_RF,boyce,0.428,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN2_ANN,boyce,0.736,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN2_MAXENT.Phillips,boyce,0.028,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN2_CTA,boyce,0.6,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN2_MARS,boyce,0.664,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN3_GLM,boyce,0.644,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN3_GBM,boyce,0.69,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN3_GAM,boyce,0.691,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN3_RF,boyce,0.809,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN3_ANN,boyce,0.525,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN3_MAXENT.Phillips,boyce,0.468,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN3_CTA,boyce,0.7,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN3_MARS,boyce,0.807,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN4_GLM,boyce,0.424,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN4_GBM,boyce,0.679,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN4_GAM,boyce,0.917,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN4_RF,boyce,0.87,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN4_ANN,boyce,0.427,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN4_MAXENT.Phillips,boyce,0.595,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN4_CTA,boyce,1,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN4_MARS,boyce,0.789,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN5_GLM,boyce,0.922,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN5_GBM,boyce,0.795,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN5_GAM,boyce,0.509,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN5_RF,boyce,0.804,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN5_ANN,boyce,0.182,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN5_MAXENT.Phillips,boyce,0.061,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN5_CTA,boyce,0.563,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN5_MARS,boyce,0.809,Salamandra_atra_north
Salamandra.atra.north_EMwmeanByTSS_mergedAlgo_RUN1_AllData,boyce,0.787,Salamandra_atra_north
Salamandra.atra.north_EMwmeanByTSS_mergedAlgo_RUN2_AllData,boyce,0.531,Salamandra_atra_north
Salamandra.atra.north_EMwmeanByTSS_mergedAlgo_RUN3_AllData,boyce,0.835,Salamandra_atra_north
Salamandra.atra.north_EMwmeanByTSS_mergedAlgo_RUN4_AllData,boyce,0.878,Salamandra_atra_north
Salamandra.atra.north_EMwmeanByTSS_mergedAlgo_RUN5_AllData,boyce,0.724,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN1_GLM,mpa,NA,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN1_GBM,mpa,NA,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN1_GAM,mpa,NA,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN1_RF,mpa,NA,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN1_ANN,mpa,NA,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN1_MAXENT.Phillips,mpa,NA,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN1_CTA,mpa,NA,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN1_MARS,mpa,NA,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN2_GLM,mpa,NA,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN2_GBM,mpa,NA,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN2_GAM,mpa,NA,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN2_RF,mpa,NA,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN2_ANN,mpa,NA,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN2_MAXENT.Phillips,mpa,NA,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN2_CTA,mpa,NA,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN2_MARS,mpa,NA,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN3_GLM,mpa,NA,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN3_GBM,mpa,NA,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN3_GAM,mpa,NA,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN3_RF,mpa,NA,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN3_ANN,mpa,NA,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN3_MAXENT.Phillips,mpa,NA,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN3_CTA,mpa,NA,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN3_MARS,mpa,NA,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN4_GLM,mpa,NA,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN4_GBM,mpa,NA,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN4_GAM,mpa,NA,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN4_RF,mpa,NA,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN4_ANN,mpa,NA,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN4_MAXENT.Phillips,mpa,NA,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN4_CTA,mpa,NA,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN4_MARS,mpa,NA,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN5_GLM,mpa,NA,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN5_GBM,mpa,NA,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN5_GAM,mpa,NA,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN5_RF,mpa,NA,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN5_ANN,mpa,NA,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN5_MAXENT.Phillips,mpa,NA,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN5_CTA,mpa,NA,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN5_MARS,mpa,NA,Salamandra_atra_north
Salamandra.atra.north_EMwmeanByTSS_mergedAlgo_RUN1_AllData,mpa,NA,Salamandra_atra_north
Salamandra.atra.north_EMwmeanByTSS_mergedAlgo_RUN2_AllData,mpa,NA,Salamandra_atra_north
Salamandra.atra.north_EMwmeanByTSS_mergedAlgo_RUN3_AllData,mpa,NA,Salamandra_atra_north
Salamandra.atra.north_EMwmeanByTSS_mergedAlgo_RUN4_AllData,mpa,NA,Salamandra_atra_north
Salamandra.atra.north_EMwmeanByTSS_mergedAlgo_RUN5_AllData,mpa,NA,Salamandra_atra_north
