model,metric,value,taxon
Salamandra.atra.north_AllData_RUN3_MAXENT.Phillips,boyce,0.323,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN3_CTA,boyce,0.5,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN3_MARS,boyce,0.736,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN4_GLM,boyce,0.634,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN4_GBM,boyce,0.849,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN4_GAM,boyce,0.887,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN4_RF,boyce,0.848,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN4_ANN,boyce,0.624,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN4_MAXENT.Phillips,boyce,0.393,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN4_CTA,boyce,1,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN4_MARS,boyce,0.786,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN5_GLM,boyce,0.897,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN5_GBM,boyce,0.77,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN5_GAM,boyce,0.262,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN5_RF,boyce,0.753,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN5_ANN,boyce,0.677,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN5_MAXENT.Phillips,boyce,0.434,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN5_CTA,boyce,0.9,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN5_MARS,boyce,0.862,Salamandra_atra_north
Salamandra.atra.north_EMwmeanByTSS_mergedAlgo_RUN1_AllData,boyce,0.838,Salamandra_atra_north
Salamandra.atra.north_EMwmeanByTSS_mergedAlgo_RUN2_AllData,boyce,0.458,Salamandra_atra_north
Salamandra.atra.north_EMwmeanByTSS_mergedAlgo_RUN3_AllData,boyce,0.778,Salamandra_atra_north
Salamandra.atra.north_EMwmeanByTSS_mergedAlgo_RUN4_AllData,boyce,0.893,Salamandra_atra_north
Salamandra.atra.north_EMwmeanByTSS_mergedAlgo_RUN5_AllData,boyce,0.88,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN1_GLM,mpa,NA,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN1_GBM,mpa,NA,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN1_GAM,mpa,NA,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN1_RF,mpa,NA,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN1_ANN,mpa,NA,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN1_MAXENT.Phillips,mpa,NA,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN1_CTA,mpa,NA,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN1_MARS,mpa,NA,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN2_GLM,mpa,NA,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN2_GBM,mpa,NA,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN2_GAM,mpa,NA,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN2_RF,mpa,NA,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN2_ANN,mpa,NA,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN2_MAXENT.Phillips,mpa,NA,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN2_CTA,mpa,NA,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN2_MARS,mpa,NA,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN3_GLM,mpa,NA,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN3_GBM,mpa,NA,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN3_GAM,mpa,NA,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN3_RF,mpa,NA,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN3_ANN,mpa,NA,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN3_MAXENT.Phillips,mpa,NA,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN3_CTA,mpa,NA,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN3_MARS,mpa,NA,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN4_GLM,mpa,NA,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN4_GBM,mpa,NA,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN4_GAM,mpa,NA,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN4_RF,mpa,NA,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN4_ANN,mpa,NA,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN4_MAXENT.Phillips,mpa,NA,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN4_CTA,mpa,NA,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN4_MARS,mpa,NA,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN5_GLM,mpa,NA,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN5_GBM,mpa,NA,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN5_GAM,mpa,NA,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN5_RF,mpa,NA,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN5_ANN,mpa,NA,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN5_MAXENT.Phillips,mpa,NA,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN5_CTA,mpa,NA,Salamandra_atra_north
Salamandra.atra.north_AllData_RUN5_MARS,mpa,NA,Salamandra_atra_north
Salamandra.atra.north_EMwmeanByTSS_mergedAlgo_RUN1_AllData,mpa,NA,Salamandra_atra_north
Salamandra.atra.north_EMwmeanByTSS_mergedAlgo_RUN2_AllData,mpa,NA,Salamandra_atra_north
Salamandra.atra.north_EMwmeanByTSS_mergedAlgo_RUN3_AllData,mpa,NA,Salamandra_atra_north
Salamandra.atra.north_EMwmeanByTSS_mergedAlgo_RUN4_AllData,mpa,NA,Salamandra_atra_north
Salamandra.atra.north_EMwmeanByTSS_mergedAlgo_RUN5_AllData,mpa,NA,Salamandra_atra_north
