variable_name,algorithm,fold,variable_importance
CHELSA_bio_14,MARS,RUN1,0.12
CHELSA_bio_15,MARS,RUN1,0.258
CHELSA_bio_03,GLM,RUN2,0.199
CHELSA_bio_05,GLM,RUN2,0
CHELSA_bio_06,GLM,RUN2,0
CHELSA_bio_08,GLM,RUN2,0.018
CHELSA_bio_09,GLM,RUN2,0.755
CHELSA_bio_13,GLM,RUN2,0.496
CHELSA_bio_14,GLM,RUN2,0.271
CHELSA_bio_15,GLM,RUN2,0.229
CHELSA_bio_03,GBM,RUN2,0.33
CHELSA_bio_05,GBM,RUN2,0.01
CHELSA_bio_06,GBM,RUN2,0.001
CHELSA_bio_08,GBM,RUN2,0.058
CHELSA_bio_09,GBM,RUN2,0.579
CHELSA_bio_13,GBM,RUN2,0.001
CHELSA_bio_14,GBM,RUN2,0.005
CHELSA_bio_15,GBM,RUN2,0.009
CHELSA_bio_03,GAM,RUN2,0.354
CHELSA_bio_05,GAM,RUN2,0.035
CHELSA_bio_06,GAM,RUN2,0.133
CHELSA_bio_08,GAM,RUN2,0.159
CHELSA_bio_09,GAM,RUN2,0.46
CHELSA_bio_13,GAM,RUN2,0.167
CHELSA_bio_14,GAM,RUN2,0.148
CHELSA_bio_15,GAM,RUN2,0.092
CHELSA_bio_03,RF,RUN2,0.221
CHELSA_bio_05,RF,RUN2,0.052
CHELSA_bio_06,RF,RUN2,0.053
CHELSA_bio_08,RF,RUN2,0.058
CHELSA_bio_09,RF,RUN2,0.263
CHELSA_bio_13,RF,RUN2,0.008
CHELSA_bio_14,RF,RUN2,0.009
CHELSA_bio_15,RF,RUN2,0.033
CHELSA_bio_03,ANN,RUN2,0.146
CHELSA_bio_05,ANN,RUN2,0.452
CHELSA_bio_06,ANN,RUN2,0.262
CHELSA_bio_08,ANN,RUN2,0.027
CHELSA_bio_09,ANN,RUN2,0.58
CHELSA_bio_13,ANN,RUN2,0.684
CHELSA_bio_14,ANN,RUN2,0.387
CHELSA_bio_15,ANN,RUN2,0.436
CHELSA_bio_03,MAXENT.Phillips,RUN2,0.326
CHELSA_bio_05,MAXENT.Phillips,RUN2,0.236
CHELSA_bio_06,MAXENT.Phillips,RUN2,0.025
CHELSA_bio_08,MAXENT.Phillips,RUN2,0.148
CHELSA_bio_09,MAXENT.Phillips,RUN2,0.421
CHELSA_bio_13,MAXENT.Phillips,RUN2,0.074
CHELSA_bio_14,MAXENT.Phillips,RUN2,0.137
CHELSA_bio_15,MAXENT.Phillips,RUN2,0.13
CHELSA_bio_03,CTA,RUN2,0.5
CHELSA_bio_05,CTA,RUN2,0
CHELSA_bio_06,CTA,RUN2,0
CHELSA_bio_08,CTA,RUN2,0.168
CHELSA_bio_09,CTA,RUN2,0.683
CHELSA_bio_13,CTA,RUN2,0
CHELSA_bio_14,CTA,RUN2,0
CHELSA_bio_15,CTA,RUN2,0
CHELSA_bio_03,MARS,RUN2,0.324
CHELSA_bio_05,MARS,RUN2,0.007
CHELSA_bio_06,MARS,RUN2,0.011
CHELSA_bio_08,MARS,RUN2,0.189
CHELSA_bio_09,MARS,RUN2,0.665
CHELSA_bio_13,MARS,RUN2,0.053
CHELSA_bio_14,MARS,RUN2,0.191
CHELSA_bio_15,MARS,RUN2,0.048
CHELSA_bio_03,GLM,RUN3,0.148
CHELSA_bio_05,GLM,RUN3,0
CHELSA_bio_06,GLM,RUN3,0
CHELSA_bio_08,GLM,RUN3,0.054
CHELSA_bio_09,GLM,RUN3,0.646
CHELSA_bio_13,GLM,RUN3,0.008
CHELSA_bio_14,GLM,RUN3,0
CHELSA_bio_15,GLM,RUN3,0
CHELSA_bio_03,GBM,RUN3,0.3
CHELSA_bio_05,GBM,RUN3,0.015
CHELSA_bio_06,GBM,RUN3,0.002
CHELSA_bio_08,GBM,RUN3,0.15
CHELSA_bio_09,GBM,RUN3,0.499
CHELSA_bio_13,GBM,RUN3,0.004
CHELSA_bio_14,GBM,RUN3,0.002
CHELSA_bio_15,GBM,RUN3,0.002
CHELSA_bio_03,GAM,RUN3,0.31
CHELSA_bio_05,GAM,RUN3,0.155
CHELSA_bio_06,GAM,RUN3,0.404
CHELSA_bio_08,GAM,RUN3,0.249
CHELSA_bio_09,GAM,RUN3,0.295
CHELSA_bio_13,GAM,RUN3,0.388
CHELSA_bio_14,GAM,RUN3,0.214
CHELSA_bio_15,GAM,RUN3,0.111
CHELSA_bio_03,RF,RUN3,0.183
CHELSA_bio_05,RF,RUN3,0.059
CHELSA_bio_06,RF,RUN3,0.073
CHELSA_bio_08,RF,RUN3,0.106
CHELSA_bio_09,RF,RUN3,0.238
CHELSA_bio_13,RF,RUN3,0.014
CHELSA_bio_14,RF,RUN3,0.008
CHELSA_bio_15,RF,RUN3,0.024
CHELSA_bio_03,ANN,RUN3,0.253
CHELSA_bio_05,ANN,RUN3,0.643
CHELSA_bio_06,ANN,RUN3,0.637
CHELSA_bio_08,ANN,RUN3,0.317
CHELSA_bio_09,ANN,RUN3,0.646
CHELSA_bio_13,ANN,RUN3,0.518
CHELSA_bio_14,ANN,RUN3,0.226
CHELSA_bio_15,ANN,RUN3,0.242
CHELSA_bio_03,MAXENT.Phillips,RUN3,0.34
CHELSA_bio_05,MAXENT.Phillips,RUN3,0.104
CHELSA_bio_06,MAXENT.Phillips,RUN3,0.167
CHELSA_bio_08,MAXENT.Phillips,RUN3,0.249
CHELSA_bio_09,MAXENT.Phillips,RUN3,0.365
CHELSA_bio_13,MAXENT.Phillips,RUN3,0.093
CHELSA_bio_14,MAXENT.Phillips,RUN3,0.088
CHELSA_bio_15,MAXENT.Phillips,RUN3,0.08
CHELSA_bio_03,CTA,RUN3,0.354
CHELSA_bio_05,CTA,RUN3,0
CHELSA_bio_06,CTA,RUN3,0
CHELSA_bio_08,CTA,RUN3,0.196
CHELSA_bio_09,CTA,RUN3,0.711
CHELSA_bio_13,CTA,RUN3,0
CHELSA_bio_14,CTA,RUN3,0
CHELSA_bio_15,CTA,RUN3,0
CHELSA_bio_03,MARS,RUN3,0.262
CHELSA_bio_05,MARS,RUN3,0.346
CHELSA_bio_06,MARS,RUN3,0.259
CHELSA_bio_08,MARS,RUN3,0.27
CHELSA_bio_09,MARS,RUN3,0.362
CHELSA_bio_13,MARS,RUN3,0
CHELSA_bio_14,MARS,RUN3,0
CHELSA_bio_15,MARS,RUN3,0.036
CHELSA_bio_03,GLM,RUN4,0.13
CHELSA_bio_05,GLM,RUN4,0
CHELSA_bio_06,GLM,RUN4,0.041
CHELSA_bio_08,GLM,RUN4,0.044
CHELSA_bio_09,GLM,RUN4,0.924
CHELSA_bio_13,GLM,RUN4,0.682
CHELSA_bio_14,GLM,RUN4,0.273
CHELSA_bio_15,GLM,RUN4,0.153
CHELSA_bio_03,GBM,RUN4,0.207
CHELSA_bio_05,GBM,RUN4,0.016
CHELSA_bio_06,GBM,RUN4,0
CHELSA_bio_08,GBM,RUN4,0.143
CHELSA_bio_09,GBM,RUN4,0.519
CHELSA_bio_13,GBM,RUN4,0.014
CHELSA_bio_14,GBM,RUN4,0.004
CHELSA_bio_15,GBM,RUN4,0.035
CHELSA_bio_03,GAM,RUN4,0.23
CHELSA_bio_05,GAM,RUN4,0
CHELSA_bio_06,GAM,RUN4,0.123
CHELSA_bio_08,GAM,RUN4,0.33
CHELSA_bio_09,GAM,RUN4,0.415
CHELSA_bio_13,GAM,RUN4,0.478
CHELSA_bio_14,GAM,RUN4,0.225
CHELSA_bio_15,GAM,RUN4,0.149
CHELSA_bio_03,RF,RUN4,0.138
CHELSA_bio_05,RF,RUN4,0.039
CHELSA_bio_06,RF,RUN4,0.037
CHELSA_bio_08,RF,RUN4,0.098
CHELSA_bio_09,RF,RUN4,0.24
CHELSA_bio_13,RF,RUN4,0.025
CHELSA_bio_14,RF,RUN4,0.01
CHELSA_bio_15,RF,RUN4,0.036
CHELSA_bio_03,ANN,RUN4,0.25
CHELSA_bio_05,ANN,RUN4,0.417
CHELSA_bio_06,ANN,RUN4,0.408
CHELSA_bio_08,ANN,RUN4,0.244
CHELSA_bio_09,ANN,RUN4,0.785
CHELSA_bio_13,ANN,RUN4,0.482
CHELSA_bio_14,ANN,RUN4,0.301
CHELSA_bio_15,ANN,RUN4,0.224
CHELSA_bio_03,MAXENT.Phillips,RUN4,0.197
CHELSA_bio_05,MAXENT.Phillips,RUN4,0.057
CHELSA_bio_06,MAXENT.Phillips,RUN4,0.063
CHELSA_bio_08,MAXENT.Phillips,RUN4,0.267
CHELSA_bio_09,MAXENT.Phillips,RUN4,0.411
CHELSA_bio_13,MAXENT.Phillips,RUN4,0.103
CHELSA_bio_14,MAXENT.Phillips,RUN4,0.116
CHELSA_bio_15,MAXENT.Phillips,RUN4,0.144
CHELSA_bio_03,CTA,RUN4,0.333
CHELSA_bio_05,CTA,RUN4,0
CHELSA_bio_06,CTA,RUN4,0
CHELSA_bio_08,CTA,RUN4,0.138
CHELSA_bio_09,CTA,RUN4,0.782
CHELSA_bio_13,CTA,RUN4,0
CHELSA_bio_14,CTA,RUN4,0
CHELSA_bio_15,CTA,RUN4,0
CHELSA_bio_03,MARS,RUN4,0.237
CHELSA_bio_05,MARS,RUN4,0.37
CHELSA_bio_06,MARS,RUN4,0
CHELSA_bio_08,MARS,RUN4,0.222
CHELSA_bio_09,MARS,RUN4,0.45
CHELSA_bio_13,MARS,RUN4,0.161
CHELSA_bio_14,MARS,RUN4,0.186
CHELSA_bio_15,MARS,RUN4,0.054
CHELSA_bio_03,GLM,RUN5,0.097
CHELSA_bio_05,GLM,RUN5,0
CHELSA_bio_06,GLM,RUN5,0
CHELSA_bio_08,GLM,RUN5,0.013
CHELSA_bio_09,GLM,RUN5,0.696
CHELSA_bio_13,GLM,RUN5,0.54
CHELSA_bio_14,GLM,RUN5,0.192
CHELSA_bio_15,GLM,RUN5,0.206
CHELSA_bio_03,GBM,RUN5,0.248
CHELSA_bio_05,GBM,RUN5,0.007
CHELSA_bio_06,GBM,RUN5,0.007
CHELSA_bio_08,GBM,RUN5,0.123
CHELSA_bio_09,GBM,RUN5,0.625
CHELSA_bio_13,GBM,RUN5,0.005
CHELSA_bio_14,GBM,RUN5,0.003
CHELSA_bio_15,GBM,RUN5,0.02
CHELSA_bio_03,GAM,RUN5,0.327
CHELSA_bio_05,GAM,RUN5,0.005
CHELSA_bio_06,GAM,RUN5,0.595
CHELSA_bio_08,GAM,RUN5,0.23
CHELSA_bio_09,GAM,RUN5,0.352
CHELSA_bio_13,GAM,RUN5,0.023
CHELSA_bio_14,GAM,RUN5,0.032
CHELSA_bio_15,GAM,RUN5,0.092
CHELSA_bio_03,RF,RUN5,0.167
CHELSA_bio_05,RF,RUN5,0.059
CHELSA_bio_06,RF,RUN5,0.079
CHELSA_bio_08,RF,RUN5,0.087
CHELSA_bio_09,RF,RUN5,0.274
CHELSA_bio_13,RF,RUN5,0.016
CHELSA_bio_14,RF,RUN5,0.01
CHELSA_bio_15,RF,RUN5,0.049
CHELSA_bio_03,ANN,RUN5,0.176
CHELSA_bio_05,ANN,RUN5,0.512
CHELSA_bio_06,ANN,RUN5,0.235
CHELSA_bio_08,ANN,RUN5,0.024
CHELSA_bio_09,ANN,RUN5,0.667
CHELSA_bio_13,ANN,RUN5,0.637
CHELSA_bio_14,ANN,RUN5,0.332
CHELSA_bio_15,ANN,RUN5,0.359
CHELSA_bio_03,MAXENT.Phillips,RUN5,0.34
CHELSA_bio_05,MAXENT.Phillips,RUN5,0.085
CHELSA_bio_06,MAXENT.Phillips,RUN5,0.084
CHELSA_bio_08,MAXENT.Phillips,RUN5,0.301
CHELSA_bio_09,MAXENT.Phillips,RUN5,0.46
CHELSA_bio_13,MAXENT.Phillips,RUN5,0.098
CHELSA_bio_14,MAXENT.Phillips,RUN5,0.074
CHELSA_bio_15,MAXENT.Phillips,RUN5,0.087
CHELSA_bio_03,CTA,RUN5,0.392
CHELSA_bio_05,CTA,RUN5,0
CHELSA_bio_06,CTA,RUN5,0
CHELSA_bio_08,CTA,RUN5,0.186
CHELSA_bio_09,CTA,RUN5,0.694
CHELSA_bio_13,CTA,RUN5,0
CHELSA_bio_14,CTA,RUN5,0
CHELSA_bio_15,CTA,RUN5,0
CHELSA_bio_03,MARS,RUN5,0.334
CHELSA_bio_05,MARS,RUN5,0.021
CHELSA_bio_06,MARS,RUN5,0.599
CHELSA_bio_08,MARS,RUN5,0.306
CHELSA_bio_09,MARS,RUN5,0.499
CHELSA_bio_13,MARS,RUN5,0.044
CHELSA_bio_14,MARS,RUN5,0.195
CHELSA_bio_15,MARS,RUN5,0.081
